treat	econ_hard	depress1	sex	age	occp	marital	nonwhite	educ	income	job_seek	depress2	mastery	treat_num	job_dich	job_disc
1	1.33	1.55	1	42.31233	3	4	1	4	3	4.0	3.4545455	3.825	1.0	1.0	3.0
1	3.33	1.82	0	50.68767	2	2	0	4	5	3.8333333	2.0	3.7777777	1.0	0.0	3.0
1	5.0	1.18	1	46.92603	3	4	1	3	1	5.0	1.1818181	4.766667	1.0	1.0	4.0
1	3.0	1.36	0	43.31233	5	1	0	3	1	3.1666667	1.9090909	3.3555555	1.0	0.0	2.0
1	2.0	2.7	1	47.07397	2	5	0	5	4	3.1666667	1.8181819	3.3722222	1.0	0.0	2.0
0	2.67	2.45	1	55.99726	3	2	0	1	2	3.8333333	2.8181818	3.3777778	0.0	0.0	3.0
1	3.0	2.36	1	18.794521	1	1	0	2	5	3.0	1.6363636	3.6	1.0	0.0	2.0
1	3.0	1.18	0	37.643837	2	2	0	3	5	4.0	1.3636364	3.5166667	1.0	1.0	3.0
0	3.33	1.73	1	39.747944	4	1	0	2	2	4.0	1.2727273	4.0666666	0.0	1.0	3.0
1	2.0	1.18	1	27.323288	1	2	0	4	4	5.0	2.6363637	4.125	1.0	1.0	4.0
0	2.67	1.83	0	51.265755	1	4	0	3	3	3.6666667	1.4545455	3.5305555	0.0	0.0	3.0
1	4.0	2.55	0	34.887672	5	1	0	3	3	5.0	1.4545455	4.366667	1.0	1.0	4.0
1	1.33	1.0	1	64.224655	2	2	0	2	1	4.5	1.0	4.266667	1.0	1.0	4.0
1	3.33	2.18	0	48.443836	1	2	0	5	5	5.0	1.2727273	4.2	1.0	1.0	4.0
0	4.33	2.91	0	25.20274	6	1	0	2	1	4.8333335	2.909091	4.036111	0.0	1.0	4.0
0	3.67	1.55	0	34.323288	6	1	0	3	2	3.6666667	1.4545455	3.4055555	0.0	0.0	3.0
1	4.67	2.73	0	35.567123	7	4	0	2	3	4.5	2.090909	4.008333	1.0	1.0	4.0
0	1.67	1.0	1	36.830135	3	2	0	3	5	3.8333333	1.3636364	4.0194445	0.0	0.0	3.0
0	4.67	2.64	1	27.060274	3	1	0	3	5	3.5	3.4545455	3.8583333	0.0	0.0	3.0
1	2.0	1.82	1	41.227398	2	2	0	3	5	3.8	2.7272727	3.5916667	1.0	0.0	3.0
1	3.67	2.0	1	18.473972	2	1	0	1	1	3.1666667	3.7272727	2.6888888	1.0	0.0	2.0
1	3.33	2.55	1	38.671234	3	2	0	2	3	4.0	1.6363636	3.8333333	1.0	1.0	3.0
0	2.67	1.36	1	42.654793	3	2	0	3	5	4.5	1.2727273	4.4	0.0	1.0	4.0
0	2.0	1.36	1	42.536987	6	4	0	2	2	4.1666665	1.0	4.388889	0.0	1.0	3.0
1	3.33	2.82	0	37.994522	7	1	0	3	1	4.5	1.7272727	4.1	1.0	1.0	4.0
0	4.67	1.55	1	54.70411	3	5	0	2	1	4.0	3.6363637	3.3916667	0.0	1.0	3.0
0	4.0	1.55	1	44.515068	3	2	1	3	1	4.0	1.3636364	4.4	0.0	1.0	3.0
0	5.0	2.18	1	40.939728	3	3	0	3	1	4.8333335	1.4545455	4.1527777	0.0	1.0	4.0
0	2.67	2.18	1	34.11781	3	2	0	4	5	2.8333333	3.0	2.4194446	0.0	0.0	2.0
0	2.33	1.73	0	20.019178	6	1	0	2	2	2.5	3.0	3.2	0.0	0.0	2.0
0	4.67	1.82	0	38.33151	7	2	0	1	2	4.0	2.5454545	3.6416667	0.0	1.0	3.0
1	4.67	2.45	1	71.37534	3	2	0	1	3	5.0	1.7272727	3.9833333	1.0	1.0	4.0
1	3.0	2.0	1	42.27397	3	2	0	2	3	3.3333333	1.5454545	3.4027777	1.0	0.0	2.0
1	3.0	1.64	0	36.9863	2	1	0	4	2	4.0	1.2727273	3.8083334	1.0	1.0	3.0
1	4.67	2.45	0	47.60822	7	2	0	1	2	4.0	2.2727273	3.9	1.0	1.0	3.0
1	3.67	1.0	0	57.28493	4	2	0	2	5	4.1666665	1.0	4.1555557	1.0	1.0	3.0
1	3.67	2.45	0	39.87945	2	3	0	3	5	5.0	2.1818182	3.7333333	1.0	1.0	4.0
1	2.67	2.0	0	23.479452	2	1	0	2	2	5.0	1.2727273	4.4083333	1.0	1.0	4.0
1	3.0	2.18	1	50.956165	4	3	0	1	1	3.6666667	3.0	3.6555555	1.0	0.0	3.0
0	3.67	2.09	0	43.12055	5	1	0	3	3	3.1666667	1.5454545	3.2638888	0.0	0.0	2.0
1	3.67	2.27	0	31.046576	7	1	0	1	2	3.0	1.4545455	3.175	1.0	0.0	2.0
0	2.67	1.36	0	37.750687	2	4	0	2	4	3.8333333	2.2727273	3.6777778	0.0	0.0	3.0
1	3.33	1.36	0	43.046574	7	1	1	2	5	3.3333333	1.0	3.7444444	1.0	0.0	2.0
1	2.0	1.55	0	39.39178	6	2	0	2	1	3.3333333	2.3636363	3.0444446	1.0	0.0	2.0
1	2.0	2.73	0	32.16712	6	4	0	2	1	3.1666667	1.1818181	4.1555557	1.0	0.0	2.0
0	3.33	1.91	1	25.356165	5	2	1	3	1	3.6666667	1.0909091	3.8222222	0.0	0.0	3.0
1	3.33	1.91	0	30.29589	7	2	0	1	3	2.8333333	1.9090909	3.6444445	1.0	0.0	2.0
1	2.0	2.0	1	53.10959	1	2	0	5	5	4.6666665	1.6363636	4.5305557	1.0	1.0	4.0
0	3.0	2.09	0	41.761642	1	2	0	5	5	3.5	1.4545455	3.4833333	0.0	0.0	3.0
1	2.33	1.73	0	37.27671	7	2	0	4	5	2.8333333	1.6363636	3.386111	1.0	0.0	2.0
1	3.33	1.27	1	44.767124	3	2	1	3	2	4.0	1.1818181	4.4583335	1.0	1.0	3.0
1	4.33	2.55	1	20.58356	3	2	0	2	1	3.5	2.909091	3.6416667	1.0	0.0	3.0
1	5.0	2.1	1	24.978083	6	1	1	3	1	2.6666667	2.4545455	3.338889	1.0	0.0	2.0
0	4.67	2.0	0	33.69589	5	4	0	3	1	4.1666665	1.2727273	3.7972221	0.0	1.0	3.0
0	2.0	1.36	1	52.147945	3	2	0	2	3	3.6666667	2.1818182	3.4907408	0.0	0.0	3.0
1	3.33	1.45	1	37.07123	4	2	0	3	5	5.0	1.4545455	4.6	1.0	1.0	4.0
1	2.67	1.91	1	40.969864	5	1	0	2	1	5.0	2.6363637	4.2166667	1.0	1.0	4.0
1	2.0	1.73	1	41.9863	2	2	0	1	4	4.8333335	1.1818181	4.6444445	1.0	1.0	4.0
1	2.33	1.09	0	32.243835	4	1	0	4	2	5.0	1.2727273	4.8333335	1.0	1.0	4.0
0	3.0	1.45	0	25.60274	5	1	0	2	2	4.3333335	1.0909091	4.2694445	0.0	1.0	3.0
1	1.0	2.0	1	29.279451	1	1	1	5	3	2.5	1.8181819	3.6666667	1.0	0.0	2.0
1	3.0	1.27	0	29.484932	5	1	0	2	2	5.0	1.0909091	4.4333334	1.0	1.0	4.0
0	5.0	2.09	1	27.89863	3	4	0	2	2	4.0	2.3636363	3.9333334	0.0	1.0	3.0
1	2.0	2.27	1	27.249315	6	5	1	3	1	2.5	2.0	3.325	1.0	0.0	2.0
1	3.0	2.27	1	33.41644	1	1	0	5	2	4.3333335	1.6363636	4.1444445	1.0	1.0	3.0
0	2.33	1.55	1	29.241096	4	2	0	4	5	3.8333333	1.1818181	3.8694444	0.0	0.0	3.0
0	4.0	3.0	0	37.652054	7	2	1	2	2	4.0	2.909091	3.7	0.0	1.0	3.0
1	2.33	1.45	1	20.649315	3	1	1	2	1	5.0	2.1818182	4.5	1.0	1.0	4.0
1	2.33	1.55	1	39.09589	7	4	1	4	2	5.0	1.0	4.7	1.0	1.0	4.0
1	3.0	1.8	1	45.646576	2	4	0	4	2	4.5	1.2727273	4.225	1.0	1.0	4.0
0	3.33	3.0	0	62.134247	5	2	0	2	4	3.5	2.1	3.4	0.0	0.0	3.0
0	2.0	1.73	0	21.668493	7	1	0	3	2	3.0	2.090909	3.0	0.0	0.0	2.0
0	4.0	3.0	1	30.128767	2	1	1	4	3	4.3333335	3.2727273	3.4027777	0.0	1.0	3.0
1	2.0	1.45	0	44.39178	1	2	0	4	5	5.0	1.3636364	4.5333333	1.0	1.0	4.0
1	3.67	2.55	1	31.60274	1	1	0	4	3	4.3333335	2.090909	3.886111	1.0	1.0	3.0
1	3.33	1.73	0	39.4274	5	2	0	2	3	4.6666665	3.2727273	3.6222222	1.0	1.0	4.0
1	3.33	2.18	1	47.268494	3	4	0	2	2	4.6666665	1.0	4.438889	1.0	1.0	4.0
1	2.67	1.91	0	34.019176	2	4	0	5	3	4.0	1.2727273	4.225	1.0	1.0	3.0
1	3.67	1.55	0	37.91507	1	4	0	2	3	5.0	1.0	4.7	1.0	1.0	4.0
1	4.0	1.36	0	35.536987	6	2	0	2	3	3.0	2.1818182	3.2583334	1.0	0.0	2.0
1	1.67	1.91	1	25.093151	1	1	0	5	4	5.0	1.8181819	4.2833333	1.0	1.0	4.0
0	3.33	2.09	0	27.41096	4	2	0	4	3	4.0	2.5454545	3.7083333	0.0	1.0	3.0
1	4.67	2.2	1	57.769863	3	4	0	3	2	5.0	1.3	4.425	1.0	1.0	4.0
1	3.33	1.73	1	48.654793	1	2	1	3	5	4.0	1.0	3.9333334	1.0	1.0	3.0
1	4.33	1.45	1	42.835617	3	2	1	2	5	4.6666665	1.4545455	4.3555555	1.0	1.0	4.0
1	4.33	3.0	0	51.126026	1	3	0	4	3	4.1666665	2.3636363	3.8805556	1.0	1.0	3.0
1	2.67	1.36	0	34.164383	3	2	1	3	2	3.5	2.4545455	3.575	1.0	0.0	3.0
1	3.33	1.27	0	43.5726	2	2	0	4	5	4.3333335	1.2727273	4.4444447	1.0	1.0	3.0
0	2.0	1.18	0	35.876713	1	2	0	4	5	4.3333335	1.4545455	3.9527779	0.0	1.0	3.0
0	1.67	1.09	1	46.983562	1	1	1	3	1	5.0	1.0	4.483333	0.0	1.0	4.0
1	2.67	2.09	1	26.920547	3	1	0	3	1	3.5	2.8181818	3.7	1.0	0.0	3.0
0	3.33	2.64	0	34.635616	5	1	0	2	2	3.6666667	1.5454545	3.3138888	0.0	0.0	3.0
0	3.0	1.27	0	63.452053	1	2	0	4	5	3.8333333	1.2727273	4.2444444	0.0	0.0	3.0
1	1.33	2.0	1	46.328766	3	2	0	2	4	4.8333335	1.0	4.2444444	1.0	1.0	4.0
1	4.0	2.55	1	39.87123	2	2	0	2	5	3.3333333	3.5454545	3.2527778	1.0	0.0	2.0
1	4.0	2.73	0	48.983562	2	4	0	5	5	4.0	1.6363636	4.4416666	1.0	1.0	3.0
1	2.33	1.82	1	44.920547	2	2	0	3	5	5.0	1.2727273	4.4666667	1.0	1.0	4.0
0	3.33	2.0	1	41.70411	4	2	0	3	4	4.6666665	1.4545455	4.088889	0.0	1.0	4.0
1	2.0	2.73	1	21.69589	2	2	0	3	2	4.0	1.6363636	4.258333	1.0	1.0	3.0
1	2.33	1.27	1	37.945206	3	1	0	3	3	4.0	1.3636364	4.1666665	1.0	1.0	3.0
0	1.33	1.18	1	34.761642	6	2	0	1	5	4.1666665	1.3636364	4.2388887	0.0	1.0	3.0
0	3.33	1.4	0	33.969864	4	2	0	3	3	4.5	1.6363636	4.1583333	0.0	1.0	4.0
1	2.0	1.09	1	28.58904	7	1	1	2	1	3.1666667	1.1818181	3.6722221	1.0	0.0	2.0
1	2.33	1.73	1	36.627396	3	1	0	3	2	3.8333333	1.4545455	4.0444446	1.0	0.0	3.0
1	3.67	1.45	1	37.69863	1	4	0	3	2	4.6666665	2.909091	4.1305556	1.0	1.0	4.0
1	3.0	1.36	0	33.553425	6	2	0	1	3	3.5	1.6363636	3.2916667	1.0	0.0	3.0
1	2.67	1.0	1	58.038357	1	2	0	3	3	3.5	1.0	3.8333333	1.0	0.0	3.0
1	4.0	2.0	1	31.673973	2	4	0	3	1	4.0	2.1818182	3.9416666	1.0	1.0	3.0
0	2.33	1.09	1	49.80548	2	4	0	2	3	3.3333333	1.5454545	3.6944444	0.0	0.0	2.0
1	2.0	1.27	1	59.446575	2	2	0	2	5	4.3333335	1.0909091	4.411111	1.0	1.0	3.0
0	5.0	1.27	0	53.79452	4	3	0	4	4	5.0	1.3636364	4.633333	0.0	1.0	4.0
1	2.33	1.82	0	44.643837	5	2	0	2	3	4.8333335	1.5454545	4.361111	1.0	1.0	4.0
1	3.0	2.45	1	27.928766	2	1	0	3	3	5.0	1.6363636	4.25	1.0	1.0	4.0
1	4.33	2.55	1	48.28767	2	4	0	3	3	5.0	1.0	4.5333333	1.0	1.0	4.0
0	2.67	2.78	0	26.282192	3	1	0	2	3	3.1666667	1.5454545	3.3138888	0.0	0.0	2.0
1	2.33	1.27	0	31.482191	7	1	0	2	2	4.0	1.0	3.95	1.0	1.0	3.0
1	2.0	1.73	1	22.40548	3	1	0	2	4	4.0	1.2727273	3.9916666	1.0	1.0	3.0
1	1.67	1.09	1	20.40274	3	1	1	3	5	4.5	1.1818181	4.241667	1.0	1.0	4.0
1	2.0	1.91	0	22.473972	6	1	0	1	3	4.0	1.0	4.0	1.0	1.0	3.0
1	3.33	2.73	1	30.723288	3	1	0	1	2	3.5	2.4545455	3.525	1.0	0.0	3.0
1	2.0	2.09	0	21.810959	7	1	0	3	1	4.1666665	1.0	3.7222223	1.0	1.0	3.0
0	4.67	1.55	1	34.70137	7	2	0	2	1	4.1666665	1.6363636	4.047222	0.0	1.0	3.0
0	4.67	2.55	1	31.906849	3	3	1	2	1	3.5	1.9090909	3.4166667	0.0	0.0	3.0
1	4.33	1.36	0	26.180822	5	1	0	1	2	4.1666665	1.2727273	3.9805555	1.0	1.0	3.0
1	2.33	1.45	1	23.69863	3	1	0	3	1	4.1666665	2.1818182	3.9055555	1.0	1.0	3.0
1	2.67	1.0	0	56.854794	2	2	0	4	4	5.0	1.0	4.5333333	1.0	1.0	4.0
1	3.0	2.36	1	27.287672	3	1	0	2	1	3.5	1.4545455	3.6083333	1.0	0.0	3.0
0	3.67	1.45	1	29.849316	1	1	0	5	3	3.5	1.9090909	3.1833334	0.0	0.0	3.0
1	4.67	2.0	1	27.580822	7	2	0	2	1	4.1666665	2.7272727	3.788889	1.0	1.0	3.0
1	2.0	1.0	0	24.073973	6	2	0	2	2	4.1666665	1.0	4.0305557	1.0	1.0	3.0
0	3.0	1.55	0	64.38082	1	2	0	3	3	4.1666665	1.9090909	4.338889	0.0	1.0	3.0
1	4.33	2.64	1	25.676712	4	1	0	2	2	3.6666667	1.4545455	3.8972223	1.0	0.0	3.0
1	3.33	3.0	1	20.063013	3	1	0	1	1	1.8333334	2.5454545	3.1944444	1.0	0.0	1.0
0	3.67	2.27	1	31.780823	1	1	0	5	3	5.0	2.5454545	4.025	0.0	1.0	4.0
1	4.0	1.64	0	43.12055	2	1	0	5	3	3.0	2.090909	3.0666666	1.0	0.0	2.0
0	2.67	2.27	1	31.441095	4	4	0	2	4	2.8333333	2.8181818	3.036111	0.0	0.0	2.0
1	1.67	1.09	0	29.827396	5	2	0	3	2	5.0	1.0	4.866667	1.0	1.0	4.0
1	2.33	1.09	0	30.31507	1	2	0	3	3	4.1666665	1.0	3.7972221	1.0	1.0	3.0
0	1.33	1.36	0	67.50411	5	2	0	2	3	4.3333335	1.7272727	4.311111	0.0	1.0	3.0
1	4.33	1.73	1	37.791782	1	4	0	3	2	4.0	1.2727273	3.9416666	1.0	1.0	3.0
1	2.33	1.09	0	27.038357	1	1	0	3	2	3.8333333	1.9090909	3.961111	1.0	0.0	3.0
1	4.33	2.09	0	48.4137	7	3	1	2	1	3.6666667	1.2727273	3.5208333	1.0	0.0	3.0
1	3.33	1.91	0	31.117807	2	2	0	2	3	3.8333333	1.7272727	3.7444444	1.0	0.0	3.0
1	3.33	2.0	0	19.260275	7	1	0	2	5	4.5	1.2	4.1666665	1.0	1.0	4.0
1	3.0	1.36	0	45.441097	5	4	0	3	1	3.8333333	1.0909091	3.8277779	1.0	0.0	3.0
1	3.67	2.09	1	30.39452	2	1	0	5	4	4.6666665	1.3636364	4.1555557	1.0	1.0	4.0
0	3.67	1.55	0	50.063015	5	2	0	2	3	4.3333335	1.0909091	4.061111	0.0	1.0	3.0
0	3.67	2.9	0	28.830137	5	2	0	2	3	3.1666667	3.0	2.988889	0.0	0.0	2.0
1	4.67	2.82	1	35.00274	1	4	0	4	3	4.6666665	1.7272727	4.413889	1.0	1.0	4.0
1	4.33	2.55	1	38.756165	3	1	0	3	1	4.0	3.090909	3.575	1.0	1.0	3.0
0	4.0	1.55	0	40.0137	1	2	0	2	3	4.6666665	1.9090909	3.9805555	0.0	1.0	4.0
1	3.33	1.2	0	25.356165	6	2	0	3	4	4.8333335	1.1818181	4.577778	1.0	1.0	4.0
1	3.33	2.91	0	35.60548	5	2	0	2	5	3.8333333	2.7	4.0027776	1.0	0.0	3.0
0	4.67	1.2	1	25.128767	3	3	1	3	1	4.3333335	1.4545455	4.1277776	0.0	1.0	3.0
0	2.67	1.0	1	33.89315	2	2	0	2	5	4.0	1.0	4.1583333	0.0	1.0	3.0
0	2.67	1.27	0	52.372604	7	4	0	2	1	4.6666665	1.0	4.322222	0.0	1.0	4.0
1	4.0	2.73	1	34.865753	1	2	0	3	4	4.6666665	1.8181819	4.0055556	1.0	1.0	4.0
1	2.0	1.55	0	28.087671	2	1	0	3	2	3.3333333	2.0	3.5777779	1.0	0.0	2.0
1	3.33	1.36	1	33.780823	3	1	1	1	1	1.5	1.0	3.1	1.0	0.0	1.0
1	2.0	2.64	1	41.547947	6	4	1	2	2	5.0	1.4545455	4.1916666	1.0	1.0	4.0
1	3.67	2.55	0	44.49315	6	4	1	1	3	3.3333333	3.4545455	3.1694446	1.0	0.0	2.0
1	2.33	2.27	1	59.334248	3	2	0	2	1	3.5	1.6	3.5416667	1.0	0.0	3.0
1	1.33	2.6	1	51.032875	2	2	0	2	5	3.1666667	2.1818182	3.5805554	1.0	0.0	2.0
0	3.0	2.45	1	34.219177	2	4	0	4	2	5.0	1.2727273	4.4666667	0.0	1.0	4.0
1	3.33	1.64	1	60.375343	3	4	0	4	2	4.0	1.5	3.5694444	1.0	1.0	3.0
1	3.0	1.0	0	46.016438	5	2	0	2	3	3.0	1.3636364	3.2416666	1.0	0.0	2.0
1	4.33	2.36	0	31.709589	5	1	0	2	1	3.3333333	2.7272727	2.8944445	1.0	0.0	2.0
0	2.0	2.82	1	20.70685	7	1	0	1	3	3.3333333	2.2727273	2.9194446	0.0	0.0	2.0
1	1.0	1.0	1	58.750687	3	4	0	3	5	4.6666665	1.0	4.2388887	1.0	1.0	4.0
0	3.67	2.27	1	23.70685	1	2	0	4	4	4.6666665	1.1818181	4.588889	0.0	1.0	4.0
1	3.33	1.91	1	44.20548	6	4	1	2	1	4.0	1.5454545	4.0333333	1.0	1.0	3.0
1	4.33	2.45	1	32.778084	3	1	0	3	1	4.5	3.909091	3.575	1.0	1.0	4.0
1	3.67	1.64	0	43.81918	7	2	1	1	3	3.0	1.2727273	3.65	1.0	0.0	2.0
0	3.0	2.0	1	24.29589	1	1	0	5	2	2.3333333	1.9090909	3.2444444	0.0	0.0	1.0
1	3.67	2.45	1	56.38356	7	4	1	2	1	3.0	1.2727273	3.425	1.0	0.0	2.0
1	3.0	1.18	1	63.91781	3	5	0	3	3	4.1666665	1.7272727	4.522222	1.0	1.0	3.0
1	5.0	2.91	1	34.70137	5	1	1	1	1	4.8333335	3.1818182	3.9694445	1.0	1.0	4.0
1	5.0	2.55	1	51.567123	3	2	1	3	2	3.1666667	2.5454545	3.4388888	1.0	0.0	2.0
0	2.33	2.18	1	43.80274	3	2	0	2	4	4.5	2.7272727	3.5583334	0.0	1.0	4.0
1	2.33	1.09	1	29.013699	7	1	1	2	3	4.0	1.2727273	4.15	1.0	1.0	3.0
0	1.67	1.27	1	45.41644	3	2	1	2	2	3.3333333	1.0	3.7944446	0.0	0.0	2.0
1	1.33	2.64	1	35.972603	2	2	0	5	5	5.0	1.0909091	3.725	1.0	1.0	4.0
0	3.67	1.27	0	36.282192	5	2	0	3	4	3.8333333	2.5	3.336111	0.0	0.0	3.0
1	3.33	2.36	0	37.263012	6	2	1	1	2	3.8333333	2.1818182	3.636111	1.0	0.0	3.0
1	3.33	2.0	1	30.663013	3	1	0	3	1	3.5	1.6363636	3.4916666	1.0	0.0	3.0
1	1.67	1.27	1	33.410957	3	2	1	3	2	4.3333335	1.5454545	4.211111	1.0	1.0	3.0
1	3.33	1.55	0	23.227398	6	1	0	3	1	5.0	1.1818181	4.5	1.0	1.0	4.0
1	3.33	2.09	0	36.983562	6	3	1	3	2	3.5	1.1818181	3.9166667	1.0	0.0	3.0
0	2.0	1.64	0	58.47671	2	2	0	3	5	4.5	1.5454545	4.1666665	0.0	1.0	4.0
1	2.0	1.0	1	42.134247	3	2	0	2	5	4.0	1.0909091	3.875	1.0	1.0	3.0
1	4.33	2.45	1	30.934246	4	4	1	4	3	5.0	1.0	3.7333333	1.0	1.0	4.0
1	1.0	1.36	1	44.32055	1	2	0	5	5	4.1666665	1.0909091	4.197222	1.0	1.0	3.0
0	2.33	1.45	1	28.161644	1	1	0	5	4	2.5	1.1818181	2.9416666	0.0	0.0	2.0
1	2.67	1.0	1	23.917809	3	1	0	3	2	3.5	1.2727273	3.9833333	1.0	0.0	3.0
1	3.0	2.18	1	43.60548	3	2	0	2	4	4.0	1.9090909	3.4416666	1.0	1.0	3.0
0	3.67	2.09	1	30.30959	3	2	0	2	3	4.5	1.8181819	3.6833334	0.0	1.0	4.0
1	3.0	1.64	1	28.353424	3	2	0	2	3	4.1666665	1.4545455	4.0555553	1.0	1.0	3.0
1	2.67	1.0	0	61.367123	6	2	0	1	3	4.0	1.2727273	4.225	1.0	1.0	3.0
1	2.33	1.91	1	45.358906	3	5	0	5	2	4.0	1.5454545	3.6666667	1.0	1.0	3.0
1	2.33	2.27	1	28.591782	2	1	0	4	4	4.3333335	1.5454545	3.786111	1.0	1.0	3.0
1	4.33	2.82	0	29.380821	1	4	0	3	2	4.6666665	3.3636363	3.7638888	1.0	1.0	4.0
1	4.33	2.82	0	29.739725	2	1	0	5	2	4.1666665	2.3636363	3.6472223	1.0	1.0	3.0
1	2.33	1.45	0	29.942465	7	1	0	2	1	3.3333333	2.0	3.1694446	1.0	0.0	2.0
1	3.33	1.27	0	39.460274	1	2	0	5	5	3.5	2.1818182	3.35	1.0	0.0	3.0
1	2.33	1.09	0	54.08219	1	2	0	2	5	3.6666667	1.0	3.9805555	1.0	0.0	3.0
1	3.0	2.27	0	44.71233	1	2	0	5	5	3.8333333	2.3636363	3.911111	1.0	0.0	3.0
0	2.67	2.27	1	48.016438	3	2	0	2	3	3.4	2.9	3.7	0.0	0.0	2.0
1	3.0	1.73	0	19.48767	6	1	0	2	1	5.0	3.0	3.7	1.0	1.0	4.0
0	3.33	2.64	0	35.410957	5	2	0	2	2	3.0	3.090909	2.5666666	0.0	0.0	2.0
1	4.67	2.67	1	51.145206	7	2	0	2	3	3.8333333	1.4545455	3.711111	1.0	0.0	3.0
1	3.33	2.36	0	31.057535	5	2	0	3	2	3.6666667	2.2727273	3.6888888	1.0	0.0	3.0
1	2.67	1.64	0	35.471233	6	2	0	2	2	4.3333335	1.1818181	4.302778	1.0	1.0	3.0
0	2.67	1.18	0	45.517807	2	2	0	3	1	3.5	1.8181819	3.275	0.0	0.0	3.0
1	4.0	2.0	1	53.147945	1	1	0	4	3	5.0	1.9090909	4.4	1.0	1.0	4.0
1	3.67	2.5	1	36.221916	3	4	1	3	3	4.6666665	2.090909	3.738889	1.0	1.0	4.0
1	4.33	2.27	1	28.610958	2	2	0	5	2	4.5	4.4545455	3.2583334	1.0	1.0	4.0
